sepal_length,sepal_width,petal_length,petal_width,species,target
7.2,2.4,4.8,2.0,virginica,2
6.6,3.3,4.9,2.5,virginica,2
6.7,3.1,6.7,2.4,virginica,2
5.0,3.6,1.6,0.5,setosa,0
6.2,2.8,5.3,1.7,virginica,2
5.1,2.7,1.0,0.3,setosa,0
6.5,2.7,4.7,1.8,versicolor,1
4.4,3.2,1.3,0.6,setosa,0
5.4,3.7,1.8,1.0,setosa,0
6.3,3.2,5.1,1.9,virginica,2
5.0,4.1,1.4,1.3,setosa,0
6.6,3.8,5.8,1.9,virginica,2
5.7,3.3,4.2,1.6,versicolor,1
5.1,2.7,1.0,0.1,setosa,0
6.9,2.3,4.8,0.9,versicolor,1
4.8,3.7,1.3,0.1,setosa,0
6.2,2.4,5.2,1.6,virginica,2
6.3,3.3,5.0,1.5,versicolor,1
6.3,2.6,5.5,2.4,virginica,2
6.4,3.1,4.8,1.8,versicolor,1
6.6,3.4,5.4,1.2,versicolor,1
5.7,3.0,4.7,1.8,versicolor,1
4.7,3.7,1.9,0.6,setosa,0
4.7,3.6,1.6,0.1,setosa,0
5.1,3.2,1.6,0.8,setosa,0
6.1,2.8,4.5,1.3,versicolor,1
4.8,3.4,1.3,0.9,setosa,0
4.8,3.4,1.1,0.1,setosa,0
6.1,3.2,5.3,1.7,virginica,2
5.7,2.9,4.7,1.3,versicolor,1
6.9,3.8,4.9,2.2,virginica,2
5.7,2.8,3.7,1.3,versicolor,1
6.0,2.7,4.9,1.4,versicolor,1
5.0,4.1,1.0,0.5,setosa,0
5.9,2.8,5.5,2.0,virginica,2
5.0,3.0,2.0,0.5,setosa,0
5.1,2.8,1.6,0.1,setosa,0
5.2,4.4,1.1,0.1,setosa,0
6.5,2.7,6.1,2.2,virginica,2
4.7,2.9,1.3,0.5,setosa,0
5.7,2.9,4.6,2.1,versicolor,1
5.6,3.0,3.2,1.1,versicolor,1
5.9,2.5,5.2,0.9,versicolor,1
5.5,3.7,5.0,1.3,versicolor,1
6.0,3.0,5.0,1.3,versicolor,1
5.0,3.4,1.5,0.1,setosa,0
6.3,2.8,5.7,1.8,virginica,2
6.5,2.7,5.6,2.0,virginica,2
6.5,3.2,5.8,1.6,virginica,2
4.6,3.6,1.5,0.1,setosa,0
5.1,3.5,1.0,0.2,setosa,0
6.5,2.9,5.7,2.3,virginica,2
4.7,3.3,1.9,0.3,setosa,0
7.3,3.0,5.2,2.1,virginica,2
6.6,3.1,5.3,1.7,virginica,2
5.1,3.0,1.6,0.4,setosa,0
5.0,3.3,1.0,0.2,setosa,0
6.8,3.4,3.9,1.3,versicolor,1
6.2,3.3,4.5,1.1,versicolor,1
5.6,3.4,1.5,0.1,setosa,0
6.3,2.9,4.6,1.4,versicolor,1
6.0,3.3,5.1,1.0,versicolor,1
6.0,3.2,4.2,2.3,versicolor,1
4.7,3.4,1.3,0.1,setosa,0
6.1,2.9,5.1,1.4,virginica,2
5.9,3.5,6.2,1.9,virginica,2
6.0,2.7,5.4,1.8,versicolor,1
6.4,2.6,4.9,2.1,virginica,2
5.3,4.0,1.5,0.6,setosa,0
4.6,3.7,1.1,0.8,setosa,0
4.8,3.5,1.0,0.4,setosa,0
4.9,3.4,2.1,0.5,setosa,0
6.8,2.5,5.7,2.5,virginica,2
5.1,3.6,1.5,0.1,setosa,0
6.2,3.6,4.5,1.7,versicolor,1
4.7,3.4,1.8,0.1,setosa,0
7.2,3.4,5.5,2.5,virginica,2
5.8,2.9,5.5,2.5,virginica,2
6.0,2.7,4.5,1.7,versicolor,1
5.4,2.6,4.7,1.7,versicolor,1
6.6,2.8,5.5,1.9,virginica,2
6.4,3.3,6.1,2.0,virginica,2
6.2,4.5,4.7,2.0,versicolor,1
6.1,2.8,4.4,1.3,versicolor,1
6.6,2.6,5.8,1.3,virginica,2
6.4,2.8,4.1,1.7,versicolor,1
4.7,3.4,1.6,0.6,setosa,0
7.1,3.0,6.0,2.0,virginica,2
5.7,2.9,4.3,1.5,versicolor,1
6.6,2.8,5.8,2.5,virginica,2
6.7,3.2,4.0,1.9,versicolor,1
6.3,2.8,5.4,1.1,virginica,2
5.8,3.4,4.5,1.1,versicolor,1
5.8,3.1,3.9,0.9,versicolor,1
6.4,3.3,4.4,1.8,versicolor,1
6.6,2.9,5.8,1.1,virginica,2
6.2,2.3,4.8,2.0,virginica,2
4.9,3.6,2.1,0.1,setosa,0
5.8,3.2,5.2,2.2,virginica,2
5.2,3.4,1.8,0.8,setosa,0
6.2,2.8,5.9,1.8,virginica,2
7.0,3.1,5.6,1.8,virginica,2
5.7,3.1,4.6,1.3,versicolor,1
4.6,3.8,2.0,0.1,setosa,0
5.7,3.7,1.0,0.5,setosa,0
6.2,2.9,4.4,1.9,versicolor,1
5.0,4.5,1.4,0.3,setosa,0
6.1,3.2,4.9,1.9,versicolor,1
5.0,3.1,1.8,0.1,setosa,0
5.3,3.1,2.1,0.1,setosa,0
6.3,2.8,4.6,1.5,versicolor,1
7.3,3.7,5.4,2.4,virginica,2
6.9,2.2,4.4,1.7,versicolor,1
5.1,3.8,1.0,0.1,setosa,0
4.6,3.6,1.1,0.1,setosa,0
6.7,3.1,5.9,1.8,virginica,2
6.0,3.3,5.6,1.6,virginica,2
5.3,3.5,4.5,2.0,versicolor,1
6.9,2.3,5.0,1.2,virginica,2
6.8,2.7,5.5,1.8,virginica,2
7.0,2.8,4.7,1.6,virginica,2
5.2,3.1,4.2,1.8,versicolor,1
6.4,2.6,5.3,2.3,virginica,2
6.7,3.0,4.7,2.0,virginica,2
5.7,3.1,4.6,2.3,versicolor,1
6.3,2.9,4.5,1.1,versicolor,1
5.6,2.5,5.0,1.8,versicolor,1
5.5,2.9,4.3,1.2,versicolor,1
5.5,2.7,5.7,1.9,virginica,2
6.8,3.5,5.1,2.3,virginica,2
5.3,3.2,1.1,0.4,setosa,0
6.0,2.9,4.6,1.2,versicolor,1
6.4,2.6,5.3,2.2,virginica,2
4.8,3.7,1.5,0.6,setosa,0
6.5,2.5,5.2,2.0,virginica,2
5.2,3.6,1.6,0.3,setosa,0
5.9,3.5,5.6,1.7,virginica,2
5.8,3.3,4.6,1.2,versicolor,1
5.3,3.6,1.5,0.1,setosa,0
6.5,3.0,4.1,1.7,versicolor,1
4.9,3.7,2.3,0.3,setosa,0
4.9,3.2,1.1,0.1,setosa,0
4.4,3.3,1.4,0.1,setosa,0
5.1,4.0,1.0,0.3,setosa,0
6.5,2.6,5.3,1.5,virginica,2
6.3,3.1,5.4,1.2,versicolor,1
6.7,2.6,5.5,2.3,virginica,2
5.7,2.8,4.8,1.7,versicolor,1
5.8,3.1,5.1,0.9,versicolor,1
4.9,3.8,1.7,0.2,setosa,0
