InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV5105,SKU68442,Cable,41,2023-08-13,233.1,1034,United Kingdom
INV6005,SKU40689,Hair Product,7,2023-08-14,22.13,1009,United Kingdom
INV1378,SKU98832,Cookbook,30,2023-08-15,58.23,1083,United Kingdom
INV7528,SKU59602,Speaker,7,2023-08-16,117.78,1092,France
INV5700,SKU71925,Decor,40,2023-08-18,90.68,1002,United Kingdom
INV5146,SKU11600,Maintenance Item,35,2023-08-18,61.19,1063,United Kingdom
INV8794,SKU69472,Perfume,39,2023-08-19,25.23,1070,United Kingdom
INV3042,SKU63145,Tablet,48,2023-08-20,183.12,1095,United Kingdom
INV9668,SKU77412,Furniture,32,2023-08-20,16.41,1084,United Kingdom
INV4874,SKU16820,Doll,48,2023-08-21,44.0,1037,United Kingdom
INV2675,SKU46977,Non-Fiction,47,2023-08-21,9.03,1063,United Kingdom
INV1699,SKU91345,Tablet,36,2023-08-21,27.03,1048,United Kingdom
INV2755,SKU10675,Building Blocks,23,2023-08-22,11.03,1062,United Kingdom
INV3189,SKU63522,Textbook,41,2023-08-23,33.82,1035,United Kingdom
INV7706,SKU70129,Action Figure,50,2023-08-23,72.04,1066,Germany
INV5767,SKU27548,Car Accessory,33,2023-08-23,66.61,1078,Portugal
INV8115,SKU64594,Sweater,39,2023-08-24,63.75,1080,United Kingdom
INV5018,SKU69640,Lipstick,9,2023-08-25,60.73,1048,United Kingdom
INV8439,SKU77792,Car Toy,7,2023-08-25,59.92,1008,EIRE
INV3863,SKU69925,Scarf,1,2023-08-25,67.74,1048,Netherlands
INV3306,SKU39571,Skincare,26,2023-08-27,27.18,1015,Spain
INV8720,SKU91051,Tablet,9,2023-08-27,28.43,1039,Germany
INV9856,SKU94332,Magazine,29,2023-08-29,1.53,1092,United Kingdom
INV2867,SKU64702,Car Accessory,9,2023-08-30,48.47,1039,France
INV9436,SKU64149,Basketball,21,2023-08-30,63.74,1005,Netherlands
INV3872,SKU93277,Building Blocks,22,2023-08-31,61.24,1074,Portugal
INV2281,SKU89174,Cookbook,35,2023-08-31,0.57,1021,Switzerland
INV9031,SKU57087,Tennis Racket,26,2023-09-01,23.61,1093,EIRE
INV9761,SKU91675,Smartphone,42,2023-09-02,9.67,1056,United Kingdom
INV5945,SKU10860,Non-Fiction,21,2023-09-04,59.71,1035,Portugal
INV6225,SKU18804,Fiction Novel,8,2023-09-05,53.08,1086,EIRE
INV8278,SKU21094,Doll,32,2023-09-05,34.66,1023,Portugal
INV9802,SKU61518,Decor,1,2023-09-05,97.87,1059,Portugal
INV7242,SKU93695,Action Figure,31,2023-09-07,62.34,1071,United Kingdom
INV1930,SKU88647,Hair Product,9,2023-09-08,65.88,1037,United Kingdom
INV3091,SKU91560,Charger,43,2023-09-09,19.95,1059,United Kingdom
INV5091,SKU59105,Tennis Racket,27,2023-09-10,98.94,1043,Germany
INV2167,SKU50812,Car Toy,9,2023-09-11,47.6,1086,United Kingdom
INV3589,SKU51614,Jeans,10,2023-09-12,76.78,1052,Spain
INV9992,SKU16963,Speaker,19,2023-09-13,62.02,1050,Belgium
INV7035,SKU70846,Hair Product,44,2023-09-13,24.95,1062,France
INV1216,SKU47587,Dress,42,2023-09-14,60.81,1022,United Kingdom
INV8871,SKU32349,Foundation,16,2023-09-14,57.68,1089,United Kingdom
INV4866,SKU94562,Puzzle,37,2023-09-15,60.9,1086,Netherlands
INV6947,SKU72288,Puzzle,-1,2023-09-17,84.31,1084,United Kingdom
INV6799,SKU38143,Garden Tool,10,2023-09-17,61.8,1078,United Kingdom
INV8467,SKU29323,Non-Fiction,45,2023-09-17,27.4,1088,United Kingdom
INV4401,SKU16411,Plant Pot,23,2023-09-19,15.39,1004,Italy
INV6542,SKU51262,Foundation,26,2023-09-19,66.36,1082,United Kingdom
INV8244,SKU55252,Foundation,6,2023-09-19,54.21,1049,France
INV1359,SKU87292,Lamp,42,2023-09-20,38.14,1081,United Kingdom
INV8130,SKU94746,Dress,-10,2023-09-20,9.66,1006,United Kingdom
INV6425,SKU13617,Jacket,17,2023-09-21,11.73,1055,United Kingdom
INV8242,SKU95235,Lamp,32,2023-09-22,36.98,1036,Italy
INV8270,SKU53082,Garden Tool,49,2023-09-22,52.57,1053,Spain
INV7922,SKU58265,Furniture,6,2023-09-23,51.82,1059,France
INV2479,SKU90610,Perfume,48,2023-09-24,45.52,1073,Netherlands
INV8746,SKU61003,Textbook,47,2023-09-25,42.95,1015,United Kingdom
INV3742,SKU46188,Hat,1,2023-09-25,58.53,1088,Italy
INV8439,SKU92359,Comic Book,22,2023-09-26,51.15,1041,Italy
INV3444,SKU99816,Maintenance Item,43,2023-09-26,6.35,1046,United Kingdom
INV6757,SKU92864,Water Bottle,19,2023-09-28,16.98,1068,Spain
INV9225,SKU98254,Headphones,34,2023-09-29,153.05,1059,Spain
INV7442,SKU76249,Tool Kit,23,2023-10-01,6.0,1063,Switzerland
INV3139,SKU84205,Cleaning Product,49,2023-10-01,5.55,1080,Switzerland
INV5458,SKU91625,Tool Kit,10,2023-10-02,97.0,1002,United Kingdom
INV3846,SKU35265,Basketball,30,2023-10-03,91.89,1090,United Kingdom
INV1640,SKU93835,Garden Tool,18,2023-10-04,64.6,1031,EIRE
INV4975,SKU36389,Comic Book,26,2023-10-04,11.96,1091,Belgium
INV1782,SKU93203,Hat,29,2023-10-05,60.22,1006,EIRE
INV8066,SKU95673,Kitchen Item,11,2023-10-06,11.02,1026,Belgium
INV1388,SKU40016,Puzzle,35,2023-10-07,90.76,1085,EIRE
INV4365,SKU86434,Car Accessory,29,2023-10-08,45.89,1065,Italy
INV6132,SKU18523,Lamp,29,2023-10-08,30.85,1080,Germany
INV2985,SKU84349,Puzzle,26,2023-10-08,63.59,1082,United Kingdom
INV3545,SKU92208,Cleaning Product,27,2023-10-09,83.68,1038,Netherlands
INV1519,SKU22255,Perfume,31,2023-10-09,64.04,1089,United Kingdom
INV1724,SKU62725,Tool Kit,49,2023-10-09,14.87,1037,United Kingdom
INV5994,SKU94275,Cable,32,2023-10-10,87.77,1042,United Kingdom
INV2083,SKU50654,Hair Product,16,2023-10-11,25.2,1055,United Kingdom
INV8836,SKU92716,Running Shoes,25,2023-10-12,98.13,1042,United Kingdom
INV7909,SKU95045,Lamp,47,2023-10-12,98.18,1020,United Kingdom
INV5111,SKU83680,Charger,11,2023-10-13,42.01,1080,United Kingdom
INV5418,SKU36504,Board Game,-2,2023-10-13,28.78,1014,Switzerland
INV2196,SKU15936,Mascara,35,2023-10-13,93.52,1008,Switzerland
INV1578,SKU88333,Cookbook,17,2023-10-14,37.29,1073,United Kingdom
INV1710,SKU96363,Magazine,2,2023-10-14,72.26,1054,Switzerland
INV3777,SKU28198,Textbook,10,2023-10-16,7.69,1038,Germany
INV7381,SKU98250,T-Shirt,40,2023-10-16,75.84,1074,United Kingdom
INV3721,SKU20460,Fiction Novel,18,2023-10-17,20.67,1061,Germany
INV4799,SKU17956,Charger,36,2023-10-17,68.03,1060,United Kingdom
INV6410,SKU84473,Perfume,26,2023-10-17,53.91,1024,Netherlands
INV7250,SKU78350,Board Game,1,2023-10-18,87.12,1008,United Kingdom
INV4844,SKU94945,Comic Book,45,2023-10-19,31.09,1021,United Kingdom
INV9779,SKU12453,Water Bottle,23,2023-10-19,96.99,1035,Netherlands
INV4308,SKU92211,Kitchen Item,47,2023-10-20,9.62,1071,United Kingdom
INV6500,SKU68540,Camera,45,2023-10-21,95.69,1092,United Kingdom
INV8354,SKU99277,Building Blocks,29,2023-10-21,47.42,1080,United Kingdom
INV4728,SKU39219,Tablet,18,2023-10-23,185.58,1082,Portugal
INV8584,SKU52647,Scarf,26,2023-10-23,60.23,1087,Belgium
INV6403,SKU61292,Cable,26,2023-10-23,81.98,1088,Switzerland
INV2049,SKU54313,Tablet,1,2023-10-24,112.89,1008,Netherlands
INV3118,SKU37704,Camera,4,2023-10-24,132.59,1011,United Kingdom
INV9804,SKU33053,Lamp,8,2023-10-24,89.61,1092,Italy
INV9108,SKU60578,Sweater,39,2023-10-24,53.3,1001,Netherlands
INV2936,SKU37745,Tool Kit,15,2023-10-25,4.65,1018,United Kingdom
INV6820,SKU37460,Cookbook,42,2023-10-25,23.64,1093,United Kingdom
INV4218,SKU35362,Magazine,44,2023-10-28,7.55,1065,United Kingdom
INV9019,SKU28634,Cookbook,29,2023-10-29,47.16,1011,Spain
INV1420,SKU50888,Perfume,13,2023-10-29,59.62,1080,United Kingdom
INV5073,SKU78562,Mascara,36,2023-10-30,91.81,1065,United Kingdom
INV5920,SKU22046,Skincare,47,2023-10-31,72.63,1061,United Kingdom
INV9856,SKU53480,Hair Product,45,2023-11-01,50.58,1044,United Kingdom
INV2208,SKU72498,Lamp,10,2023-11-01,25.26,1001,Belgium
INV8155,SKU23875,Running Shoes,34,2023-11-01,40.18,1039,EIRE
INV4783,SKU88166,Tennis Racket,23,2023-11-02,69.13,1061,United Kingdom
INV1821,SKU86569,Tool Kit,33,2023-11-03,85.28,1008,EIRE
INV1202,SKU25300,Hat,38,2023-11-03,52.34,1024,France
INV7615,SKU25713,Water Bottle,40,2023-11-04,42.5,1074,Netherlands
INV9998,SKU71712,Tennis Racket,39,2023-11-04,53.03,1067,Germany
INV2663,SKU42285,Garden Tool,29,2023-11-06,84.78,1064,United Kingdom
INV8792,SKU75715,Lamp,22,2023-11-07,50.95,1022,United Kingdom
INV3762,SKU85534,Furniture,50,2023-11-11,13.81,1055,Belgium
INV1086,SKU21939,Furniture,28,2023-11-11,7.34,1028,United Kingdom
INV5425,SKU26334,Hat,41,2023-11-12,36.92,1042,France
INV6870,SKU37215,Cleaning Product,8,2023-11-13,16.6,1087,United Kingdom
INV7474,SKU63143,Water Bottle,-18,2023-11-13,55.41,1092,Italy
INV1893,SKU77760,Furniture,29,2023-11-13,72.54,1014,United Kingdom
INV1992,SKU62184,Non-Fiction,30,2023-11-14,41.36,1076,United Kingdom
INV7566,SKU19120,Decor,2,2023-11-14,74.87,1027,United Kingdom
INV4335,SKU93130,Comic Book,4,2023-11-15,45.59,1005,United Kingdom
INV6600,SKU32296,Foundation,36,2023-11-16,34.46,1078,United Kingdom
INV7046,SKU69597,Cleaning Product,50,2023-11-16,73.36,1058,Netherlands
INV7541,SKU19565,Running Shoes,43,2023-11-16,35.54,1059,Switzerland
INV5410,SKU21146,Cable,-10,2023-11-16,142.81,1045,Belgium
INV1914,SKU83303,Camera,26,2023-11-19,131.47,1076,Italy
INV6439,SKU83420,Cleaning Product,8,2023-11-20,76.17,1028,United Kingdom
INV4706,SKU45200,Headphones,43,2023-11-20,19.12,1069,Italy
INV4028,SKU43064,Cleaning Product,8,2023-11-20,67.23,1087,France
INV1155,SKU18002,Fiction Novel,3,2023-11-20,15.24,1048,Spain
INV5965,SKU50756,Magazine,44,2023-11-21,40.27,1038,Switzerland
INV8557,SKU94498,Jacket,17,2023-11-21,20.54,1074,Netherlands
INV7070,SKU38477,Maintenance Item,24,2023-11-22,98.11,1047,Netherlands
INV7240,SKU88301,Magazine,28,2023-11-22,28.4,1083,Portugal
INV4920,SKU41779,Tablet,4,2023-11-23,107.98,1012,France
INV7188,SKU84757,Mascara,32,2023-11-23,69.4,1026,United Kingdom
INV8713,SKU46587,Plant Pot,39,2023-11-23,18.55,1015,Belgium
INV9229,SKU87356,Action Figure,29,2023-11-23,53.07,1058,United Kingdom
INV8967,SKU35166,Tennis Racket,19,2023-11-24,51.26,1069,Portugal
INV2824,SKU13278,Non-Fiction,48,2023-11-25,50.73,1011,United Kingdom
INV4205,SKU95359,Speaker,37,2023-11-25,203.28,1018,United Kingdom
INV8324,SKU51426,Scarf,2,2023-11-26,40.94,1004,United Kingdom
INV2160,SKU40008,Lipstick,7,2023-11-26,32.02,1038,United Kingdom
INV9185,SKU84302,Garden Tool,50,2023-11-26,89.53,1086,EIRE
INV9985,SKU17055,Charger,6,2023-11-27,46.76,1083,Belgium
INV8586,SKU99070,Garden Tool,31,2023-11-28,30.25,1010,United Kingdom
INV6818,SKU93055,Comic Book,45,2023-11-29,2.11,1017,Belgium
INV2092,SKU15737,Plant Pot,13,2023-11-30,49.05,1012,United Kingdom
INV8863,SKU66616,Speaker,16,2023-12-01,140.69,1006,Portugal
INV4330,SKU12248,Car Toy,9,2023-12-03,6.9,1044,United Kingdom
INV5895,SKU36047,Action Figure,14,2023-12-06,24.36,1055,United Kingdom
INV4271,SKU99831,Board Game,6,2023-12-06,74.22,1031,France
INV6788,SKU16672,Perfume,24,2023-12-06,34.46,1086,United Kingdom
INV6813,SKU59756,Foundation,27,2023-12-06,76.38,1040,United Kingdom
INV2667,SKU80371,Garden Tool,30,2023-12-07,26.97,1062,Netherlands
INV8474,SKU90114,Kitchen Item,7,2023-12-07,50.22,1078,United Kingdom
INV6582,SKU34164,Camera,31,2023-12-07,173.11,1009,United Kingdom
INV2938,SKU96652,Running Shoes,47,2023-12-07,48.67,1061,Italy
INV6610,SKU89215,Tool Kit,31,2023-12-08,28.56,1004,Switzerland
INV3637,SKU34116,Water Bottle,13,2023-12-08,18.95,1072,Portugal
INV8619,SKU43586,Board Game,48,2023-12-08,78.0,1020,Germany
INV6549,SKU24721,Car Accessory,36,2023-12-10,31.5,1051,EIRE
INV2388,SKU98094,Garden Tool,20,2023-12-10,19.12,1088,United Kingdom
INV5262,SKU29562,Shoes,37,2023-12-11,2.4,1067,Switzerland
INV6455,SKU49739,Tablet,48,2023-12-11,197.21,1031,EIRE
INV4678,SKU23334,Textbook,22,2023-12-12,27.97,1010,Italy
INV5240,SKU49768,Yoga Mat,36,2023-12-12,17.94,1005,Spain
INV8240,SKU88335,Board Game,2,2023-12-12,23.01,1088,United Kingdom
INV4705,SKU78084,Car Accessory,-10,2023-12-14,98.83,1054,Switzerland
INV7502,SKU28423,Basketball,33,2023-12-14,52.67,1074,Portugal
INV4320,SKU65864,Building Blocks,21,2023-12-14,97.61,1073,Netherlands
INV7292,SKU21433,Dress,39,2023-12-14,5.06,1083,EIRE
INV4105,SKU91877,Water Bottle,28,2023-12-14,24.01,1013,United Kingdom
INV2060,SKU57672,Yoga Mat,26,2023-12-16,24.05,1054,Spain
INV4878,SKU19556,Car Accessory,38,2023-12-18,9.47,1007,Belgium
INV3981,SKU26912,Skincare,4,2023-12-18,52.29,1038,United Kingdom
INV6824,SKU94485,Decor,7,2023-12-19,49.3,1040,Netherlands
INV6902,SKU64687,Garden Tool,43,2023-12-19,14.29,1009,France
INV2970,SKU68856,Plant Pot,13,2023-12-20,5.22,1010,Belgium
INV1508,SKU42411,Basketball,16,2023-12-20,47.88,1014,EIRE
INV6068,SKU40062,Gym Bag,41,2023-12-20,14.0,1021,United Kingdom
INV8267,SKU19632,Shoes,5,2023-12-20,28.23,1081,Netherlands
INV9222,SKU60967,Lamp,2,2023-12-20,16.4,1064,United Kingdom
INV9938,SKU14722,Car Toy,28,2023-12-21,5.14,1046,United Kingdom
INV2946,SKU65193,Maintenance Item,46,2023-12-21,33.16,1097,Belgium
INV2228,SKU12857,Sweater,29,2023-12-22,10.11,1042,United Kingdom
INV6779,SKU47281,Action Figure,-19,2023-12-22,83.86,1044,Italy
INV7864,SKU78650,Headphones,45,2023-12-23,87.06,1007,EIRE
INV8796,SKU90576,Laptop,43,2023-12-24,208.49,1000,Belgium
INV7855,SKU72685,Hat,14,2023-12-24,87.17,1039,Switzerland
INV6383,SKU29340,Camera,10,2023-12-24,146.98,1014,United Kingdom
INV8258,SKU93472,Non-Fiction,7,2023-12-25,13.14,1078,Italy
INV3897,SKU82963,Cookbook,28,2023-12-28,15.79,1097,United Kingdom
INV1609,SKU49893,Car Accessory,35,2023-12-29,39.48,1047,Portugal
INV7473,SKU96602,Cable,15,2023-12-30,201.94,1069,United Kingdom
INV9074,SKU11401,Hair Product,47,2023-12-30,48.49,1065,Portugal
INV9715,SKU45235,Foundation,12,2023-12-30,29.67,1081,Switzerland
INV5590,SKU39567,Garden Tool,43,2023-12-31,9.69,1048,Italy
INV9584,SKU14433,T-Shirt,27,2023-12-31,84.41,1029,United Kingdom
INV4612,SKU61807,Smartphone,14,2023-12-31,148.26,1015,United Kingdom
INV5616,SKU60052,Foundation,39,2024-01-01,87.43,1006,Netherlands
INV3017,SKU87276,Mascara,21,2024-01-03,25.53,1082,United Kingdom
INV3360,SKU49066,Action Figure,36,2024-01-04,13.2,1000,Belgium
INV4493,SKU15975,Garden Tool,18,2024-01-04,76.0,1021,Portugal
INV3907,SKU52413,Smartphone,46,2024-01-05,215.1,1046,Netherlands
INV1729,SKU23476,Fiction Novel,27,2024-01-05,0.46,1029,France
INV7554,SKU69777,Jacket,45,2024-01-06,54.05,1009,Spain
INV2584,SKU61629,Puzzle,24,2024-01-07,20.71,1065,United Kingdom
INV5543,SKU95969,Decor,16,2024-01-09,71.43,1031,Belgium
INV1462,SKU97251,Garden Tool,44,2024-01-10,26.17,1077,France
INV6491,SKU22240,Gym Bag,13,2024-01-10,3.42,1031,Italy
INV8300,SKU88005,Sweater,26,2024-01-11,14.09,1010,United Kingdom
INV7235,SKU15754,Garden Tool,43,2024-01-13,17.05,1018,United Kingdom
INV2807,SKU25842,Car Toy,34,2024-01-16,12.66,1039,Spain
INV5833,SKU58174,Tennis Racket,31,2024-01-16,46.04,1077,United Kingdom
INV4593,SKU28131,Car Accessory,8,2024-01-16,63.12,1087,Germany
INV9849,SKU20561,Plant Pot,45,2024-01-16,70.94,1008,Netherlands
INV1618,SKU96760,Car Toy,25,2024-01-17,17.06,1088,France
INV5961,SKU90534,Dress,38,2024-01-17,17.95,1079,Italy
INV7948,SKU79721,Foundation,23,2024-01-18,28.29,1092,United Kingdom
INV1408,SKU63026,Tool Kit,21,2024-01-19,1.43,1094,Portugal
INV7852,SKU32439,Board Game,39,2024-01-20,79.17,1081,France
INV3776,SKU98345,Speaker,1,2024-01-21,18.37,1051,United Kingdom
INV7481,SKU86810,Shoes,9,2024-01-21,73.5,1055,Switzerland
INV3190,SKU61713,Hair Product,3,2024-01-24,66.95,1061,Spain
INV5889,SKU53399,T-Shirt,12,2024-01-25,67.54,1078,Italy
INV3916,SKU41467,Lipstick,-14,2024-01-26,39.46,1051,United Kingdom
INV2167,SKU63580,Laptop,37,2024-01-26,43.58,1032,Netherlands
INV2477,SKU42778,Building Blocks,46,2024-01-27,72.12,1015,United Kingdom
INV2223,SKU36569,Kitchen Item,7,2024-01-28,45.51,1040,Portugal
INV8962,SKU19071,Plant Pot,36,2024-01-29,27.24,1077,EIRE
INV2476,SKU93188,Jeans,6,2024-01-29,57.96,1010,Portugal
INV7243,SKU90434,Magazine,10,2024-01-31,49.23,1053,Italy
INV9158,SKU21415,Cookbook,30,2024-02-01,69.78,1061,EIRE
INV3025,SKU55823,Sweater,12,2024-02-01,75.24,1034,Italy
INV8618,SKU67905,Tool Kit,48,2024-02-02,66.23,1036,Italy
INV1229,SKU79315,Gym Bag,19,2024-02-04,90.26,1068,United Kingdom
INV7811,SKU10863,Running Shoes,33,2024-02-04,9.44,1047,Belgium
INV1573,SKU21090,Jacket,35,2024-02-04,42.88,1084,United Kingdom
INV9986,SKU68360,Cleaning Product,20,2024-02-04,79.14,1029,Spain
INV9047,SKU36237,Dress,29,2024-02-05,89.97,1056,Netherlands
INV5603,SKU46073,Fiction Novel,39,2024-02-07,60.99,1084,France
INV3159,SKU11947,Board Game,2,2024-02-07,27.27,1016,Portugal
INV6977,SKU27224,Jacket,27,2024-02-08,20.88,1069,Netherlands
INV2496,SKU40005,Camera,49,2024-02-08,117.87,1035,United Kingdom
INV4594,SKU85457,Mascara,12,2024-02-09,24.42,1040,Netherlands
INV1795,SKU82512,Skincare,33,2024-02-10,69.49,1022,France
INV4587,SKU44340,Garden Tool,16,2024-02-11,20.4,1022,Germany
INV3759,SKU20169,Camera,23,2024-02-11,34.84,1086,Switzerland
INV9952,SKU27734,Perfume,2,2024-02-12,45.91,1091,Switzerland
INV7997,SKU99056,Lamp,31,2024-02-12,94.56,1015,Netherlands
INV9548,SKU34824,Car Accessory,35,2024-02-13,96.28,1035,EIRE
INV6026,SKU63382,Lamp,21,2024-02-14,3.69,1007,United Kingdom
INV2623,SKU16286,Garden Tool,25,2024-02-14,35.17,1094,Portugal
INV9004,SKU18379,Sweater,8,2024-02-14,86.34,1088,United Kingdom
INV8807,SKU51139,Board Game,18,2024-02-16,94.76,1087,EIRE
INV8713,SKU26769,Cookbook,49,2024-02-16,71.04,1083,United Kingdom
INV9592,SKU51777,Perfume,25,2024-02-17,75.69,1060,United Kingdom
