TransactionID,Item
1,carrots
1,bananas
1,diapers
1,beer
2,carrots
2,yogurt
2,sugar
2,eggs
2,milk
3,bananas
3,coffee
3,diapers
3,yogurt
3,beef
4,chicken
4,yogurt
4,beer
5,tomatoes
5,apples
5,eggs
5,pasta
5,coffee
6,apples
6,tomatoes
6,yogurt
6,bananas
6,diapers
6,beer
6,milk
6,coffee
7,yogurt
7,apples
7,rice
7,chicken
7,carrots
7,sugar
7,beer
8,carrots
8,beef
8,beer
8,tea
8,chicken
8,milk
8,diapers
9,rice
9,milk
9,apples
9,bread
9,chicken
9,beer
9,pasta
9,cheese
10,apples
10,cheese
10,potatoes
10,chicken
10,rice
10,yogurt
10,bananas
11,pasta
11,tomatoes
11,cheese
11,bananas
11,milk
11,onions
11,sugar
11,diapers
12,bananas
12,carrots
12,bread
12,eggs
12,beer
13,apples
13,rice
13,diapers
13,potatoes
13,beef
13,chicken
13,beer
14,beer
14,cheese
14,bread
14,onions
14,rice
14,apples
15,bread
15,milk
15,beef
16,eggs
16,beef
16,diapers
16,beer
17,eggs
17,chicken
17,yogurt
17,carrots
17,apples
17,beer
17,milk
17,pasta
18,bread
18,sugar
18,yogurt
18,beef
18,apples
18,bananas
18,milk
19,beer
19,chicken
19,rice
20,rice
20,cheese
20,chicken
21,yogurt
21,bananas
21,beer
21,chicken
21,cheese
22,chicken
22,bananas
22,apples
22,beer
22,coffee
22,yogurt
22,sugar
23,rice
23,bananas
23,bread
23,milk
23,beef
24,beer
24,eggs
24,carrots
24,milk
24,bread
24,sugar
25,cheese
25,bread
25,eggs
25,apples
25,tea
25,rice
26,bread
26,onions
26,cheese
27,onions
27,carrots
27,eggs
27,yogurt
27,milk
27,bread
27,apples
28,chicken
28,milk
28,yogurt
28,beef
28,tea
28,onions
28,eggs
28,rice
29,bananas
29,milk
29,potatoes
30,cheese
30,tea
30,rice
30,bread
30,yogurt
31,tomatoes
31,eggs
31,tea
31,onions
31,yogurt
32,potatoes
32,tomatoes
32,beef
32,beer
32,milk
32,bread
32,chicken
33,milk
33,potatoes
33,bananas
33,apples
33,beer
34,rice
34,bananas
34,bread
34,beer
34,carrots
34,diapers
34,beef
34,milk
35,apples
35,potatoes
35,cheese
35,coffee
35,beef
35,bread
35,diapers
36,beer
36,chicken
36,eggs
36,carrots
36,rice
36,yogurt
36,apples
36,milk
37,bananas
37,rice
37,tea
37,tomatoes
37,cheese
37,onions
37,milk
38,cheese
38,onions
38,bananas
38,yogurt
38,apples
38,sugar
38,tomatoes
38,tea
39,potatoes
39,apples
39,beer
39,milk
40,bread
40,potatoes
40,sugar
40,tea
