TransactionID,Items
1,"['Milk', 'Onions', 'Chicken', 'Bread', 'Coffee', 'Yogurt']"
2,"['Bread', 'Onions', 'Chicken', 'Yogurt']"
3,"['Tea', 'Yogurt', 'Rice']"
4,"['Cheese', 'Eggs', 'Rice', 'Milk', 'Chicken', 'Apples']"
5,"['Bread', 'Yogurt', 'Eggs', 'Oil', 'Butter', 'Tea', 'Onions']"
6,"['Yogurt', 'Onions', 'Oil', 'Potatoes', 'Flour']"
7,"['Bananas', 'Butter', 'Tea', 'Chicken', 'Beef', 'Coffee', 'Bread', 'Potatoes']"
8,"['Chicken', 'Milk', 'Potatoes', 'Bread']"
9,"['Bread', 'Tea', 'Cheese', 'Butter', 'Apples', 'Oil', 'Eggs', 'Tomatoes']"
10,"['Tomatoes', 'Potatoes', 'Oil', 'Bread', 'Pasta']"
11,"['Coffee', 'Beef', 'Butter', 'Onions']"
12,"['Tomatoes', 'Sugar', 'Onions', 'Pasta', 'Chicken', 'Milk']"
13,"['Pasta', 'Cheese', 'Beef', 'Rice', 'Yogurt', 'Potatoes', 'Coffee']"
14,"['Apples', 'Rice', 'Onions', 'Sugar', 'Yogurt', 'Tea', 'Flour', 'Potatoes']"
15,"['Beef', 'Tomatoes', 'Pasta', 'Bananas', 'Onions']"
16,"['Yogurt', 'Beef', 'Bread', 'Potatoes', 'Oil', 'Tomatoes', 'Rice']"
17,"['Coffee', 'Pasta', 'Potatoes', 'Oil', 'Beef', 'Chicken', 'Bananas', 'Butter']"
18,"['Rice', 'Bread', 'Oil', 'Beef', 'Bananas']"
19,"['Chicken', 'Flour', 'Butter']"
20,"['Pasta', 'Yogurt', 'Sugar']"
21,"['Beef', 'Oil', 'Butter']"
22,"['Eggs', 'Onions', 'Bread', 'Oil', 'Chicken', 'Coffee', 'Butter', 'Bananas']"
23,"['Sugar', 'Pasta', 'Rice', 'Butter', 'Flour']"
24,"['Flour', 'Pasta', 'Tea', 'Sugar']"
25,"['Yogurt', 'Apples', 'Bread', 'Eggs', 'Chicken', 'Milk', 'Tomatoes', 'Bananas']"
26,"['Rice', 'Yogurt', 'Potatoes', 'Onions', 'Tomatoes', 'Sugar', 'Bananas', 'Chicken']"
27,"['Yogurt', 'Bananas', 'Coffee', 'Chicken', 'Butter', 'Onions']"
28,"['Tomatoes', 'Yogurt', 'Cheese', 'Coffee', 'Chicken', 'Butter', 'Potatoes', 'Tea']"
29,"['Sugar', 'Pasta', 'Coffee', 'Rice', 'Tea']"
30,"['Bread', 'Bananas', 'Tomatoes', 'Apples', 'Pasta', 'Beef', 'Cheese']"
31,"['Tomatoes', 'Oil', 'Bread', 'Yogurt', 'Apples', 'Milk']"
32,"['Flour', 'Butter', 'Apples', 'Tea', 'Coffee', 'Oil', 'Tomatoes', 'Bananas']"
33,"['Chicken', 'Potatoes', 'Coffee', 'Oil']"
34,"['Rice', 'Oil', 'Chicken', 'Potatoes', 'Yogurt', 'Milk', 'Tea']"
35,"['Rice', 'Chicken', 'Bread', 'Flour', 'Apples', 'Bananas', 'Eggs', 'Butter']"
36,"['Oil', 'Tomatoes', 'Bread']"
37,"['Bananas', 'Potatoes', 'Eggs', 'Bread', 'Onions', 'Oil']"
38,"['Butter', 'Onions', 'Eggs', 'Pasta', 'Coffee', 'Yogurt', 'Milk', 'Tomatoes']"
39,"['Oil', 'Butter', 'Apples', 'Beef', 'Potatoes']"
40,"['Potatoes', 'Pasta', 'Yogurt', 'Coffee', 'Bananas', 'Rice', 'Bread']"
41,"['Tomatoes', 'Beef', 'Butter', 'Apples', 'Oil', 'Bread', 'Coffee', 'Potatoes']"
42,"['Cheese', 'Beef', 'Apples', 'Tomatoes', 'Pasta', 'Potatoes']"
43,"['Tomatoes', 'Coffee', 'Onions', 'Bananas', 'Eggs', 'Sugar', 'Chicken']"
44,"['Tomatoes', 'Bananas', 'Onions']"
45,"['Tomatoes', 'Butter', 'Apples', 'Tea', 'Eggs', 'Flour']"
46,"['Pasta', 'Flour', 'Rice', 'Onions']"
47,"['Apples', 'Coffee', 'Milk', 'Tea', 'Flour']"
48,"['Coffee', 'Cheese', 'Apples', 'Onions', 'Potatoes', 'Rice', 'Milk', 'Bananas']"
49,"['Onions', 'Rice', 'Apples', 'Flour', 'Eggs', 'Potatoes', 'Butter', 'Bananas']"
50,"['Tea', 'Beef', 'Bananas']"
